DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2023
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"110025 PRESIDENTE MEDICI";-;1;-;6;6;5;1;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"110026 RIO CRESPO";1;-;1;-;1;-;2;4;-;2;2;1;-;2;1;2;-;4;1;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;32
"110028 ROLIM DE MOURA";11;6;24;13;7;20;4;9;3;17;32;36;27;17;30;18;14;20;11;4;-;-;1;-;-;2;1;2;1;-;-;-;1;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;1;1;3;1;341
"110029 SANTA LUZIA D'OESTE";4;2;1;-;1;2;1;1;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;20
"110030 VILHENA";110;110;91;114;58;89;56;62;64;139;43;42;64;38;44;48;14;23;13;25;19;8;6;3;7;11;14;11;10;4;8;3;9;8;-;3;3;2;12;5;3;12;8;7;6;1;8;3;3;5;2;1;1452
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;1;2;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;11
"110033 NOVA MAMORE";4;12;11;20;19;5;4;6;1;-;-;2;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88
"110034 ALVORADA D'OESTE";45;29;34;11;14;18;6;6;5;4;1;-;-;1;-;1;-;-;-;-;1;-;1;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180
"110037 ALTO ALEGRE DOS PARECIS";1;1;-;2;2;-;-;1;2;6;3;3;4;1;-;1;7;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;5;9;20;23;12;4;-;-;12;3;-;-;-;127
"110040 ALTO PARAISO";3;9;2;-;2;-;-;1;-;1;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"110045 BURITIS";1;1;1;8;3;11;3;2;4;5;2;2;2;2;3;6;6;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;68
"110050 NOVO HORIZONTE DO OESTE";-;1;1;2;6;1;2;-;2;4;2;3;1;2;-;1;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;34
"110060 CACAULANDIA";13;10;12;15;23;23;22;24;16;18;8;7;6;3;4;2;2;13;7;3;2;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;1;243
"110070 CAMPO NOVO DE RONDONIA";1;-;4;12;-;3;4;3;1;1;5;1;-;1;1;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43
"110080 CANDEIAS DO JAMARI";-;-;-;-;-;3;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;9
"110090 CASTANHEIRAS";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110092 CHUPINGUAIA";1;-;1;1;1;1;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"110094 CUJUBIM";1;-;-;1;1;2;-;3;1;-;-;-;1;-;-;2;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;18
"110100 GOVERNADOR JORGE TEIXEIRA";6;2;-;3;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"110110 ITAPUA DO OESTE";9;12;10;18;11;11;16;12;20;12;13;14;5;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;168
"110120 MINISTRO ANDREAZZA";3;-;-;2;-;1;-;1;-;-;2;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;15
"110130 MIRANTE DA SERRA";-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110140 MONTE NEGRO";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;1;-;-;-;6
"110143 NOVA UNIAO";-;1;-;-;-;-;-;-;1;3;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"110145 PARECIS";-;-;-;1;-;2;-;-;1;2;1;3;6;6;4;4;-;-;1;1;-;1;3;1;3;-;-;-;-;-;-;1;-;1;-;-;3;3;1;-;2;1;-;1;-;2;1;1;3;-;1;1;62
"110146 PIMENTEIRAS DO OESTE";1;-;-;1;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110147 PRIMAVERA DE RONDONIA";-;-;2;-;-;1;-;3;-;2;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;3;-;2;2;-;-;-;-;-;-;-;27
"110148 SAO FELIPE D'OESTE";3;7;2;-;1;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;18
"110149 SAO FRANCISCO DO GUAPORE";11;12;7;5;4;5;8;13;6;5;16;1;3;3;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;106
"110150 SERINGUEIRAS";1;2;7;9;9;1;4;-;1;-;-;-;1;2;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
"110155 TEIXEIROPOLIS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110160 THEOBROMA";3;2;1;1;1;-;-;1;2;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"110170 URUPA";1;2;3;4;-;2;-;1;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"110175 VALE DO ANARI";4;7;10;9;5;-;-;-;-;1;1;5;3;4;9;6;4;1;-;1;4;1;-;-;1;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80
"110180 VALE DO PARAISO";-;1;3;6;5;1;3;1;-;1;2;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;27
"120001 ACRELANDIA";-;-;-;-;1;6;1;2;1;-;-;2;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;-;1;6;1;28
"120005 ASSIS BRASIL";17;14;27;24;19;11;13;22;10;7;42;35;11;22;10;10;6;3;6;9;4;4;10;-;-;-;-;-;-;-;-;-;1;2;1;1;-;3;-;-;1;-;-;-;-;-;2;2;2;17;11;40;419
"120010 BRASILEIA";1;4;5;3;8;6;8;12;16;34;13;4;5;1;4;2;2;1;2;-;-;-;-;-;-;-;-;-;1;-;-;4;1;3;1;-;-;-;1;2;-;2;4;2;4;2;1;3;21;25;66;24;298
"120013 BUJARI";-;-;1;14;10;12;7;1;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;53
"120017 CAPIXABA";-;1;-;1;-;-;-;-;-;-;3;1;-;-;-;2;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7;9;40;42;46;25;-;-;182
"120020 CRUZEIRO DO SUL";-;1;-;-;-;1;-;-;1;1;3;3;1;1;9;3;4;3;1;2;2;1;2;-;1;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;45
"120025 EPITACIOLANDIA";1;2;-;3;-;-;1;8;7;8;6;3;1;3;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;1;-;1;-;2;1;-;2;-;1;6;4;35;19;120
"120030 FEIJO";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;5
"120033 MANCIO LIMA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5
"120034 MANOEL URBANO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120035 MARECHAL THAUMATURGO";5;3;1;-;-;1;-;3;-;1;3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"120038 PLACIDO DE CASTRO";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"120039 PORTO WALTER";5;4;4;12;8;3;2;2;2;8;-;7;2;-;-;1;1;-;-;1;-;-;-;-;1;-;-;-;-;2;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;71
"120040 RIO BRANCO";-;-;-;-;-;-;-;2;2;2;1;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;4;1;-;-;21
"120042 RODRIGUES ALVES";1;4;1;7;5;3;-;-;1;3;8;4;10;4;4;2;1;3;2;1;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;71
"120045 SENADOR GUIOMARD";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;6
"120060 TARAUACA";32;20;26;23;18;25;24;34;22;11;16;12;7;1;11;7;7;4;1;6;6;1;-;1;1;-;-;-;1;-;1;3;2;-;-;-;-;1;1;-;-;-;2;1;1;3;1;-;-;2;2;2;339
"120070 XAPURI";1;-;-;-;-;-;-;-;1;-;1;1;7;5;2;3;3;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;1;-;33
"120080 PORTO ACRE";1;1;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130002 ALVARAES";-;-;1;-;1;-;-;-;-;-;-;2;-;1;1;3;2;-;-;-;1;-;-;-;1;-;1;-;-;-;1;2;2;10;8;9;5;3;3;15;14;6;8;3;10;3;6;5;8;18;8;8;169
"130006 AMATURA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130014 APUI";1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130020 ATALAIA DO NORTE";8;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"130040 BARCELOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"130050 BARREIRINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130060 BENJAMIN CONSTANT";7;9;5;4;10;21;8;4;4;1;-;2;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80
"130063 BERURI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130070 BOCA DO ACRE";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130080 BORBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"130100 CARAUARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"130110 CAREIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130120 COARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;2;-;-;1;-;-;1;3;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;1;-;19
"130130 CODAJAS";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;5
"130140 EIRUNEPE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;5
"130150 ENVIRA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130165 GUAJARA";2;-;-;1;-;-;-;-;2;1;1;-;-;1;3;1;-;-;1;1;1;-;-;1;2;2;-;-;1;2;-;-;1;1;-;-;-;1;-;2;1;-;2;1;3;1;2;1;1;-;1;-;41
"130170 HUMAITA";18;14;26;21;24;23;17;13;10;1;3;1;1;-;1;2;1;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;4;-;1;1;1;-;-;1;-;-;190
"130180 IPIXUNA";53;38;38;24;40;43;19;19;22;4;8;11;7;5;14;16;16;25;24;14;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;445
"130185 IRANDUBA";-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;1;2;1;1;4;-;1;-;1;6;3;3;5;3;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;37
"130190 ITACOATIARA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"130210 JAPURA";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;5;9;12;10;41;33;48;28;17;29;14;6;260
"130230 JUTAI";10;15;21;54;28;14;20;10;2;1;2;3;4;13;13;14;9;9;12;12;11;10;10;6;10;14;15;27;16;9;6;1;9;1;4;2;3;4;4;5;2;4;3;6;5;-;1;3;3;3;7;-;470
"130240 LABREA";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;4
"130250 MANACAPURU";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"130255 MANAQUIRI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"130260 MANAUS";7;6;6;4;4;8;17;6;17;7;4;19;14;14;13;14;16;11;23;22;13;18;16;5;11;14;8;15;10;10;8;6;9;7;4;6;6;7;-;7;3;5;3;1;3;7;1;5;7;23;58;65;593
"130270 MANICORE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"130280 MARAA";-;-;-;1;-;1;1;5;15;6;7;8;5;3;6;2;4;3;1;1;-;-;-;1;1;5;3;4;5;4;2;4;7;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;108
"130290 MAUES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;7;37;18;64
"130320 NOVO AIRAO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"130330 NOVO ARIPUANA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130340 PARINTINS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130353 PRESIDENTE FIGUEIREDO";-;-;2;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"130356 RIO PRETO DA EVA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130370 SANTO ANTONIO DO ICA";3;1;-;2;-;-;1;1;-;-;-;-;-;-;3;4;3;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
