DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Total"
"231070 PENTECOSTE";-;-;-;-;-;-;1;-;-;1
"231080 PEREIRO";3;-;-;1;3;1;3;7;3;21
"231085 PINDORETAMA";-;-;1;-;-;-;-;-;-;1
"231123 POTIRETAMA";-;-;-;-;-;-;1;-;-;1
"231126 QUITERIANOPOLIS";-;-;-;1;-;-;-;-;-;1
"231160 REDENCAO";-;-;-;-;-;-;-;1;-;1
"231180 RUSSAS";-;-;-;-;-;-;1;7;5;13
"231210 SANTANA DO CARIRI";2;3;-;-;1;-;1;2;-;9
"231230 SAO BENEDITO";-;-;-;-;-;-;-;4;-;4
"231240 SAO GONCALO DO AMARANTE";-;-;-;-;-;-;-;1;-;1
"231310 TABULEIRO DO NORTE";2;1;-;-;-;-;-;-;-;3
"231320 TAMBORIL";-;-;-;-;3;-;4;6;4;17
"231330 TAUA";-;-;-;1;-;-;-;-;-;1
"231340 TIANGUA";3;6;5;1;10;6;2;-;-;33
"231360 UBAJARA";-;-;-;-;1;1;1;-;-;3
"231400 VARZEA ALEGRE";2;1;1;2;2;-;1;1;1;11
"240020 ACU";-;-;-;-;-;-;-;-;1;1
"240200 CAICO";-;-;-;-;1;-;-;-;-;1
"240210 CAMPO REDONDO";-;-;-;-;1;-;-;-;-;1
"240310 CURRAIS NOVOS";1;1;-;-;-;-;-;-;-;2
"240325 PARNAMIRIM";-;5;1;1;-;1;3;2;-;13
"240360 EXTREMOZ";-;2;-;-;-;-;-;-;-;2
"240420 GOIANINHA";-;1;-;-;-;-;-;-;-;1
"240510 JANDAIRA";-;-;-;-;-;-;-;5;3;8
"240540 JAPI";1;2;-;1;-;-;-;-;-;4
"240670 LAJES";-;-;1;-;-;-;-;-;-;1
"240680 LAJES PINTADAS";-;-;-;-;-;1;-;-;-;1
"240740 MARTINS";-;-;-;-;-;-;3;-;-;3
"240800 MOSSORO";2;6;37;22;21;13;41;15;22;179
"240810 NATAL";8;9;5;-;3;3;4;-;-;32
"240880 PARAZINHO";1;-;-;-;-;-;-;-;-;1
"240960 PEDRA PRETA";-;-;-;1;-;-;-;-;-;1
"240980 PEDRO VELHO";-;-;-;-;-;-;-;1;-;1
"241010 POCO BRANCO";-;-;-;-;-;-;-;-;1;1
"241120 SANTA CRUZ";-;-;-;-;-;-;1;-;-;1
"241200 SAO GONCALO DO AMARANTE";2;1;-;-;-;-;-;-;1;4
"241210 SAO JOAO DO SABUGI";-;-;1;-;1;-;-;-;-;2
"241220 SAO JOSE DE MIPIBU";-;-;1;-;-;-;-;-;-;1
"241250 SAO MIGUEL";-;2;-;-;-;-;-;-;-;2
"241280 SAO RAFAEL";1;-;-;-;-;-;-;-;-;1
"241350 SERRINHA";-;1;-;-;-;-;-;-;-;1
"241355 SERRINHA DOS PINTOS";3;6;6;13;3;9;4;16;2;62
"250010 AGUA BRANCA";-;2;1;-;1;-;-;2;-;6
"250030 ALAGOA GRANDE";-;-;-;-;-;-;-;-;1;1
"250040 ALAGOA NOVA";-;1;-;1;-;-;-;-;-;2
"250060 ALHANDRA";-;1;-;-;-;-;-;1;-;2
"250150 BANANEIRAS";-;-;-;-;-;-;1;-;-;1
"250157 BARRA DE SANTANA";1;2;2;2;1;-;-;-;-;8
"250180 BAYEUX";1;-;-;1;1;-;-;-;2;5
"250310 CABACEIRAS";-;-;-;-;1;-;-;-;-;1
"250320 CABEDELO";-;1;1;1;1;-;-;1;1;6
"250400 CAMPINA GRANDE";-;-;-;-;1;-;-;-;-;1
"250460 CONDE";-;-;1;-;-;-;-;1;-;2
"250500 CUBATI";-;1;-;-;-;-;-;-;-;1
"250530 CURRAL VELHO";-;-;-;1;-;-;-;-;-;1
"250630 GUARABIRA";-;1;1;1;1;-;-;-;2;6
"250680 INGA";-;-;-;-;-;-;1;-;-;1
"250750 JOAO PESSOA";36;25;32;32;42;37;59;55;66;384
"250800 JURU";-;1;-;-;-;-;-;1;-;2
"250830 LAGOA SECA";-;-;2;-;-;-;-;-;-;2
"250970 MONTEIRO";1;-;-;1;-;2;-;2;7;13
"250990 NATUBA";-;-;-;-;-;-;-;1;-;1
"251020 NOVA OLINDA";-;-;-;-;-;1;-;-;-;1
"251040 OLHO D'AGUA";1;-;-;1;-;1;-;-;-;3
"251080 PATOS";-;-;-;-;-;-;-;1;-;1
"251120 PEDRAS DE FOGO";-;-;-;-;-;-;-;-;1;1
"251130 PIANCO";-;-;-;-;1;2;2;1;-;6
"251140 PICUI";-;-;-;-;1;-;-;-;-;1
"251180 PIRPIRITUBA";-;-;-;-;-;-;-;1;-;1
"251230 PRINCESA ISABEL";1;-;1;2;-;3;1;1;-;9
"251340 SANTA LUZIA";-;-;-;1;-;-;-;-;-;1
"251370 SANTA RITA";1;1;-;1;-;1;4;-;-;8
"251398 SAO FRANCISCO";-;-;-;1;-;-;-;-;-;1
"251410 SAO JOAO DO TIGRE";-;-;-;-;-;-;-;-;1;1
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-;-;1;1;-;-;-;2;-;4
"251520 SAO SEBASTIAO DO UMBUZEIRO";-;-;-;-;-;-;1;-;-;1
"251530 SAPE";-;-;1;-;-;-;-;1;-;2
"251593 SERTAOZINHO";-;1;-;-;-;-;-;-;-;1
"251600 SOLANEA";-;-;-;-;-;1;-;-;-;1
"251615 SOSSEGO";-;1;-;-;-;-;-;-;-;1
"251620 SOUSA";-;-;-;1;-;-;-;-;-;1
"251630 SUME";-;-;-;-;1;-;-;2;-;3
"251640 TACIMA";-;1;-;-;1;-;-;-;1;3
"251660 TAVARES";-;1;1;1;3;1;-;-;-;7
"251710 VARZEA";1;-;-;-;-;-;-;1;-;2
"260050 AGUAS BELAS";-;-;-;-;1;1;-;1;-;3
"260130 BARRA DE GUABIRABA";2;1;-;-;-;-;-;-;-;3
"260200 BODOCO";-;1;-;-;-;1;-;-;-;2
"260230 BONITO";-;-;-;1;-;-;-;-;-;1
"260250 BREJINHO";-;-;1;-;-;-;-;-;-;1
"260280 BUIQUE";3;3;7;5;6;4;-;2;2;32
"260290 CABO DE SANTO AGOSTINHO";-;1;2;1;2;1;2;3;-;12
"260300 CABROBO";-;1;-;-;-;-;-;-;-;1
"260310 CACHOEIRINHA";1;1;2;-;5;5;1;3;-;18
"260345 CAMARAGIBE";-;-;-;-;-;1;1;-;-;2
"260350 CAMOCIM DE SAO FELIX";-;1;1;1;-;-;-;-;-;3
"260360 CAMUTANGA";-;-;-;-;-;-;-;-;1;1
"260400 CARPINA";3;1;-;-;-;-;-;-;-;4
"260450 CHA GRANDE";3;1;-;-;-;-;-;-;-;4
"260460 CONDADO";-;1;-;-;-;1;-;-;-;2
"260510 CUSTODIA";-;1;-;-;-;-;-;-;-;1
"260520 ESCADA";-;-;-;-;-;1;-;-;-;1
"260540 FEIRA NOVA";-;-;-;-;-;-;1;20;10;31
"260570 FLORESTA";1;-;-;-;-;-;-;-;-;1
"260620 GOIANA";-;-;1;-;-;-;-;-;-;1
"260680 IGARASSU";-;-;-;-;-;-;-;1;-;1
"260700 INAJA";-;-;-;-;-;1;-;-;-;1
"260720 IPOJUCA";2;1;4;4;4;20;27;4;-;66
"260765 ITAMBE";-;-;-;-;-;-;1;-;-;1
"260790 JABOATAO DOS GUARARAPES";-;-;1;-;2;1;1;1;1;7
"260840 JUREMA";-;-;-;1;-;-;1;-;-;2
"260850 LAGOA DE ITAENGA";-;-;-;-;-;-;-;1;-;1
"260890 LIMOEIRO";1;-;-;-;-;-;-;-;-;1
"260940 MORENO";-;1;-;-;-;-;-;-;-;1
"260960 OLINDA";1;-;-;1;1;-;-;-;-;3
"260990 OURICURI";-;-;-;1;-;3;1;1;-;6
"261000 PALMARES";-;-;-;-;-;1;-;-;-;1
"261070 PAULISTA";2;-;1;-;3;1;-;-;-;7
"261100 PETROLANDIA";1;6;8;9;5;4;-;1;-;34
"261120 POCAO";-;-;-;-;-;1;-;-;-;1
"261160 RECIFE";6;3;2;4;3;2;7;9;2;38
"261170 RIACHO DAS ALMAS";3;2;1;-;4;1;1;1;1;14
"261220 SALGUEIRO";-;-;-;-;-;4;8;7;1;20
"261240 SANHARO";-;-;-;-;1;-;-;-;-;1
"261245 SANTA CRUZ";-;-;-;-;-;5;17;7;-;29
"261260 SANTA MARIA DA BOA VISTA";-;1;-;-;1;1;1;-;-;4
"261310 SAO CAITANO";-;-;-;-;-;1;1;3;-;5
"261330 SAO JOAQUIM DO MONTE";-;-;-;-;-;1;-;1;-;2
"261340 SAO JOSE DA COROA GRANDE";-;-;-;1;-;-;-;-;-;1
"261360 SAO JOSE DO EGITO";1;1;-;-;-;-;-;-;-;2
"261370 SAO LOURENCO DA MATA";-;-;-;-;1;-;-;-;-;1
"261390 SERRA TALHADA";1;-;-;-;-;-;-;1;-;2
"261400 SERRITA";-;-;-;-;-;-;-;2;-;2
"261420 SIRINHAEM";-;-;-;2;1;1;-;2;-;6
"261430 MOREILANDIA";-;-;-;-;-;-;2;1;-;3
"261450 SURUBIM";-;-;-;1;-;-;-;-;-;1
"261460 TABIRA";-;-;-;-;-;1;1;-;-;2
"261480 TACARATU";-;-;-;1;-;-;-;1;-;2
"261520 TERRA NOVA";-;-;-;-;-;-;1;-;-;1
"261530 TIMBAUBA";1;-;-;-;-;-;-;-;-;1
"261550 TRACUNHAEM";2;-;-;-;-;-;-;-;-;2
"261570 TRIUNFO";-;-;-;-;-;1;1;1;-;3
"261610 VERDEJANTE";-;-;1;-;-;-;1;-;-;2
"270160 CANAPI";1;-;-;-;-;-;-;-;-;1
"270180 CARNEIROS";-;-;1;-;-;-;-;-;1;2
"270210 COLONIA LEOPOLDINA";2;-;-;-;2;1;-;1;-;6
"270230 CORURIPE";-;-;-;1;-;-;-;-;-;1
"270300 IBATEGUARA";-;-;-;-;4;2;-;-;1;7
"270370 JARAMATAIA";-;-;1;-;-;-;-;-;-;1
"270380 JOAQUIM GOMES";-;-;-;-;-;-;1;-;-;1
"270430 MACEIO";5;5;2;3;6;3;-;-;-;24
"270450 MARAGOGI";9;5;7;7;3;3;4;-;-;38
"270460 MARAVILHA";-;1;-;-;-;-;-;-;-;1
"270480 MARIBONDO";-;-;-;-;-;2;-;-;-;2
"270540 MONTEIROPOLIS";1;-;-;-;1;-;-;-;-;2
"270550 MURICI";-;-;1;-;-;-;-;-;-;1
"270560 NOVO LINO";-;-;1;-;-;-;1;-;-;2
"270570 OLHO D'AGUA DAS FLORES";-;1;-;-;-;-;-;-;-;1
"270600 OLIVENCA";-;-;-;-;-;-;1;-;-;1
"270610 OURO BRANCO";-;-;-;-;-;1;-;-;-;1
"270630 PALMEIRA DOS INDIOS";-;-;1;1;-;-;-;-;-;2
"270640 PAO DE ACUCAR";-;1;-;-;-;-;-;1;-;2
"270760 QUEBRANGULO";-;-;-;-;1;-;-;-;-;1
"270770 RIO LARGO";-;-;-;1;-;1;-;-;-;2
"270800 SANTANA DO IPANEMA";-;-;-;-;-;1;-;-;-;1
"270860 SAO MIGUEL DOS CAMPOS";-;1;-;2;2;-;-;-;-;5
"270895 SENADOR RUI PALMEIRA";-;-;1;-;-;-;-;-;-;1
"280030 ARACAJU";3;4;-;-;-;-;-;-;-;7
"280067 BOQUIM";1;-;-;-;-;-;-;-;-;1
"280290 ITABAIANA";1;-;-;-;-;-;-;-;-;1
"280360 LARANJEIRAS";1;-;-;-;-;-;-;-;-;1
"280480 NOSSA SENHORA DO SOCORRO";-;-;1;1;-;1;-;1;1;5
"280540 POCO REDONDO";-;1;2;2;-;-;1;-;-;6
"280760 UMBAUBA";1;-;-;-;-;-;-;-;-;1
"290090 ALMADINA";-;-;-;-;-;-;-;3;-;3
"290100 AMARGOSA";-;-;-;-;1;-;-;-;-;1
"290130 ANDARAI";1;-;-;-;-;-;-;-;-;1
"290140 ANGICAL";-;-;-;-;-;1;-;-;-;1
"290190 APORA";-;1;-;-;-;-;-;-;-;1
"290225 ARATACA";-;-;1;-;-;-;-;-;-;1
"290320 BARREIRAS";1;1;1;-;-;1;-;-;-;4
"290340 BELMONTE";-;-;-;-;-;-;1;-;-;1
"290350 BELO CAMPO";3;4;2;4;7;7;4;4;3;38
"290380 BOA VISTA DO TUPIM";1;3;6;-;5;7;9;8;1;40
"290390 BOM JESUS DA LAPA";-;-;-;-;-;-;1;-;-;1
"290450 BROTAS DE MACAUBAS";-;-;-;-;-;-;2;-;-;2
"290460 BRUMADO";-;1;-;2;-;1;-;-;-;4
"290480 CAATIBA";-;-;-;-;1;-;-;1;-;2
"290500 CACULE";-;1;-;-;-;-;-;-;-;1
"290520 CAETITE";3;-;-;4;-;-;-;-;-;7
"290530 CAFARNAUM";-;1;-;1;-;-;-;-;-;2
"290570 CAMACARI";1;-;-;-;-;-;-;-;-;1
"290590 CAMPO ALEGRE DE LOURDES";-;-;-;-;3;3;2;2;1;11
"290670 CANDIDO SALES";-;-;1;-;-;1;1;-;-;3
"290689 CARAIBAS";-;-;1;-;1;-;1;1;-;4
"290690 CARAVELAS";-;-;-;-;-;1;1;2;-;4
"290710 CARINHANHA";2;-;3;5;2;2;6;2;3;25
"290720 CASA NOVA";-;-;-;-;-;-;1;-;-;1
"290760 CENTRAL";1;-;-;2;-;-;-;-;-;3
"290790 CIPO";1;-;-;-;-;-;-;-;-;1
"290800 COARACI";-;-;1;-;2;-;-;-;-;3
"290870 CONDEUBA";5;-;4;1;2;-;1;1;-;14
"290900 CORDEIROS";-;1;-;-;-;-;-;-;-;1
"290930 CORRENTINA";5;1;2;1;2;-;2;1;-;14
"290950 CRAVOLANDIA";1;-;-;-;-;-;-;-;-;1
"290990 CURACA";-;-;-;-;-;1;-;-;-;1
"291005 DIAS D'AVILA";-;-;1;-;-;-;-;-;-;1
"291010 DOM BASILIO";-;-;-;-;-;-;1;-;-;1
"291072 EUNAPOLIS";-;-;-;1;-;1;2;-;-;4
"291080 FEIRA DE SANTANA";2;2;2;2;2;1;4;1;-;16
"291085 FILADELFIA";1;-;-;-;-;-;-;-;-;1
"291130 GENTIO DO OURO";1;1;-;5;1;-;-;1;-;9
"291160 GOVERNADOR MANGABEIRA";1;-;-;-;-;-;-;-;-;1
"291170 GUANAMBI";-;1;-;2;-;-;-;-;-;3
"291180 GUARATINGA";-;1;-;-;-;-;-;-;-;1
"291210 IBICARAI";-;-;-;-;-;-;-;3;1;4
"291300 IBITIARA";1;-;-;-;-;-;-;-;-;1
"291350 IGUAI";-;-;-;-;-;1;-;-;-;1
"291360 ILHEUS";16;3;8;24;24;17;7;-;-;99
"291390 IPIAU";-;-;-;-;-;2;-;2;-;4
"291440 IRAQUARA";-;1;-;1;2;-;-;-;-;4
"291450 IRARA";-;-;-;1;1;-;-;-;-;2
"291460 IRECE";-;-;-;-;1;4;1;1;5;12
"291465 ITABELA";-;-;2;1;-;-;-;-;-;3
"291480 ITABUNA";27;17;19;29;26;20;13;1;-;152
"291490 ITACARE";2;3;1;2;5;-;-;6;-;19
"291520 ITAGIBA";-;-;-;1;-;1;-;-;-;2
"291535 ITAGUACU DA BAHIA";-;-;-;-;1;-;-;-;-;1
"291560 ITAMARAJU";-;-;-;1;-;-;-;1;-;2
"291730 ITUBERA";-;1;-;-;-;-;-;-;-;1
"291733 IUIU";-;-;-;-;-;-;-;1;-;1
"291740 JACARACI";1;-;-;-;-;-;-;-;-;1
"291750 JACOBINA";-;-;1;-;-;-;-;-;-;1
"291760 JAGUAQUARA";-;-;-;1;-;-;-;-;-;1
"291800 JEQUIE";1;1;-;-;1;1;4;-;-;8
"291835 JOAO DOURADO";-;1;-;3;2;-;-;-;-;6
"291900 LAJEDINHO";-;-;-;-;-;-;-;-;1;1
"291920 LAURO DE FREITAS";1;-;-;-;1;-;2;-;-;4
"291930 LENCOIS";-;-;-;-;-;1;-;-;-;1
"291940 LICINIO DE ALMEIDA";5;1;-;1;-;-;-;-;-;7
"291950 LIVRAMENTO DE NOSSA SENHORA";1;-;1;-;-;-;-;-;-;2
"291955 LUIS EDUARDO MAGALHAES";-;1;-;-;1;-;-;-;-;2
"292145 MIRANTE";1;-;1;1;-;-;-;-;-;3
"292160 MORPARA";-;-;-;1;-;-;-;-;-;1
"292190 MUCUGE";-;-;-;-;-;1;1;-;-;2
"292200 MUCURI";-;-;-;-;-;1;-;-;-;1
"292205 MULUNGU DO MORRO";-;-;-;-;-;-;-;-;1;1
"292285 NOVA REDENCAO";-;1;-;-;-;-;-;-;-;1
"292300 NOVA VICOSA";-;-;-;-;-;-;-;-;1;1
"292340 PALMAS DE MONTE ALTO";3;-;-;1;1;-;1;-;-;6
"292350 PALMEIRAS";2;-;-;-;-;-;-;-;-;2
"292360 PARAMIRIM";1;-;-;-;-;-;-;-;-;1
"292370 PARATINGA";-;-;-;2;-;2;-;-;-;4
"292405 PE DE SERRA";1;-;1;-;-;-;-;-;-;2
"292520 POJUCA";-;-;-;-;-;-;-;2;-;2
"292530 PORTO SEGURO";-;2;-;-;2;-;-;1;-;5
"292570 PRESIDENTE JANIO QUADROS";-;2;2;-;-;-;-;-;-;4
"292575 PRESIDENTE TANCREDO NEVES";-;-;-;1;-;-;-;-;-;1
"292595 RAFAEL JAMBEIRO";-;-;-;-;-;-;1;-;-;1
"292740 SALVADOR";7;7;12;6;8;4;10;6;3;63
"292780 SANTA CRUZ DA VITORIA";-;-;-;-;-;1;-;-;-;1
"292810 SANTA MARIA DA VITORIA";-;4;5;1;9;6;7;1;1;34
"292840 SANTA RITA DE CASSIA";-;1;1;1;-;1;-;-;-;4
"292850 SANTA TEREZINHA";-;-;-;-;-;-;-;1;-;1
"292940 SAO MIGUEL DAS MATAS";-;-;1;-;-;-;-;-;-;1
"292990 SEABRA";1;1;-;-;2;-;-;-;-;4
"293070 SIMOES FILHO";-;-;-;1;-;-;-;-;-;1
"293075 SITIO DO MATO";1;-;-;6;5;7;10;4;-;33
"293076 SITIO DO QUINTO";-;-;-;-;1;-;-;-;-;1
"293100 TANHACU";-;1;-;-;1;2;-;-;-;4
"293135 TEIXEIRA DE FREITAS";1;-;-;-;-;-;-;-;-;1
"293180 TREMEDAL";-;-;-;1;-;-;-;-;-;1
"293210 UBAIRA";1;-;-;-;-;-;-;-;-;1
"293290 VALENCA";-;-;-;-;-;1;1;-;-;2
"293300 VALENTE";-;-;-;-;-;-;1;-;-;1
"293315 VARZEA NOVA";-;-;-;-;-;1;-;-;-;1
"293330 VITORIA DA CONQUISTA";-;1;2;-;-;-;-;1;-;4
"293340 WAGNER";3;-;-;-;-;-;1;-;-;4
"310010 ABADIA DOS DOURADOS";3;16;9;10;9;16;17;13;1;94
"310030 ABRE CAMPO";-;-;-;-;-;-;-;1;-;1
"310040 ACAIACA";-;-;-;-;-;-;-;-;1;1
"310050 ACUCENA";1;-;-;-;-;-;-;-;-;1
"310080 AGUANIL";1;2;-;1;1;-;-;-;-;5
"310090 AGUAS FORMOSAS";6;12;12;5;7;3;2;1;-;48
"310150 ALEM PARAIBA";1;-;-;-;-;-;-;-;-;1
"310163 ALFREDO VASCONCELOS";-;1;-;-;-;-;-;-;-;1
"310180 ALPERCATA";14;16;10;3;3;1;5;-;-;52
"310230 ALVINOPOLIS";-;-;1;-;-;-;-;-;-;1
"310270 CACHOEIRA DE PAJEU";-;-;-;-;-;-;-;2;-;2
"310290 ANTONIO CARLOS";-;-;-;2;-;1;-;1;-;4
"310300 ANTONIO DIAS";-;-;1;-;-;-;-;-;-;1
"310340 ARACUAI";3;2;1;2;-;2;4;5;1;20
"310350 ARAGUARI";27;21;23;33;21;21;40;105;59;350
"310380 ARAPUA";-;-;1;-;1;-;-;2;-;4
"310390 ARAUJOS";-;-;-;-;-;-;-;1;1;2
"310400 ARAXA";25;13;1;8;8;18;12;7;-;92
"310410 ARCEBURGO";-;-;-;-;-;-;3;1;-;4
"310420 ARCOS";-;1;-;1;1;4;9;1;-;17
"310450 ARINOS";1;1;1;1;1;-;-;1;-;6
"310480 AUGUSTO DE LIMA";-;-;-;-;1;-;-;-;-;1
"310490 BAEPENDI";-;-;1;-;-;-;-;-;-;1
"310560 BARBACENA";8;8;1;2;6;2;6;2;3;38
"310590 BARROSO";-;-;-;1;-;-;-;-;-;1
"310600 BELA VISTA DE MINAS";-;-;-;-;-;1;-;-;-;1
"310620 BELO HORIZONTE";11;5;16;17;12;11;8;10;1;91
"310630 BELO ORIENTE";-;-;1;-;3;2;1;3;2;12
"310640 BELO VALE";-;2;2;2;-;-;1;-;-;7
"310670 BETIM";8;10;1;2;9;6;7;8;7;58
"310690 BICAS";-;-;1;-;-;-;-;-;2;3
"310730 BOCAIUVA";6;12;7;10;19;19;31;23;5;132
"310740 BOM DESPACHO";-;-;-;-;-;2;-;-;-;2
"310760 BOM JESUS DA PENHA";-;-;1;-;-;-;-;-;-;1
"310770 BOM JESUS DO AMPARO";1;-;-;-;-;-;-;-;-;1
"310780 BOM JESUS DO GALHO";-;-;-;-;-;-;1;-;-;1
"310810 BONFIM";-;-;-;1;-;1;-;-;-;2
"310825 BONITO DE MINAS";-;2;-;-;-;-;-;-;-;2
"310830 BORDA DA MATA";-;-;1;-;-;1;-;-;-;2
"310850 BOTUMIRIM";-;-;-;-;1;1;2;-;-;4
"310870 BRAS PIRES";1;-;-;-;-;-;-;-;-;1
"310900 BRUMADINHO";1;1;-;1;4;-;1;-;-;8
"310925 BUGRE";-;-;-;-;1;-;2;2;-;5
"310930 BURITIS";1;-;-;-;-;-;2;-;-;3
"310945 CABECEIRA GRANDE";-;-;-;-;-;-;-;-;1;1
"310980 CACHOEIRA DOURADA";-;-;-;1;-;-;-;-;-;1
"311000 CAETE";2;4;1;4;4;5;2;8;5;35
"311030 CALDAS";-;-;-;-;-;1;-;-;-;1
"311040 CAMACHO";-;-;-;-;1;-;-;-;-;1
"311110 CAMPINA VERDE";1;4;3;2;1;-;-;-;-;11
"311120 CAMPO BELO";1;1;-;2;-;-;-;-;-;4
"311170 CANAA";-;-;-;1;-;-;-;-;-;1
"311180 CANAPOLIS";-;1;1;3;2;-;1;-;1;9
"311230 CAPELINHA";-;-;-;-;-;-;-;2;-;2
"311260 CAPINOPOLIS";3;3;3;4;3;19;28;25;12;100
"311265 CAPITAO ANDRADE";-;-;1;-;-;-;-;-;-;1
"311270 CAPITAO ENEAS";59;110;81;50;34;48;45;35;7;469
"311280 CAPITOLIO";-;1;-;-;-;-;-;-;-;1
"311330 CARANGOLA";-;-;1;-;1;1;-;5;1;9
"311340 CARATINGA";-;-;1;3;4;7;10;3;2;30
"311360 CAREACU";2;-;-;-;-;-;-;-;-;2
"311390 CARMO DA CACHOEIRA";1;-;-;1;-;-;-;-;-;2
"311400 CARMO DA MATA";6;2;1;1;2;1;-;2;2;17
"311420 CARMO DO CAJURU";-;-;-;-;1;-;-;-;-;1
"311430 CARMO DO PARANAIBA";-;1;1;-;1;2;2;-;-;7
"311450 CARMOPOLIS DE MINAS";1;2;2;2;2;4;2;2;-;17
"311455 CARNEIRINHO";-;-;1;-;-;-;-;-;-;1
"311500 CASCALHO RICO";-;-;-;-;2;2;-;-;-;4
"311535 CATAS ALTAS";1;-;-;-;-;-;-;-;-;1
"311547 CATUTI";-;-;-;-;1;-;-;-;-;1
"311550 CAXAMBU";-;-;-;-;-;-;2;3;2;7
"311580 CENTRALINA";-;-;2;-;-;1;1;-;-;4
"311590 CHACARA";1;-;-;-;-;-;-;-;-;1
"311600 CHALE";-;-;-;-;1;-;-;-;-;1
"311615 CHAPADA GAUCHA";-;1;-;-;-;1;3;4;-;9
"311660 CLAUDIO";-;-;-;-;1;5;7;3;-;16
"311760 CONCEICAO DO PARA";-;-;-;-;1;-;1;-;-;2
"311787 CONFINS";-;-;-;-;1;-;-;2;-;3
"311790 CONGONHAL";-;-;-;-;1;-;-;-;-;1
"311800 CONGONHAS";-;-;1;-;-;-;-;-;1;2
"311820 CONQUISTA";2;1;-;-;-;-;-;1;-;4
"311840 CONSELHEIRO PENA";-;-;-;1;-;-;-;-;-;1
"311860 CONTAGEM";-;-;-;-;2;6;4;1;1;14
"311880 CORACAO DE JESUS";-;1;-;-;-;-;2;-;-;3
"311910 CORINTO";1;1;1;1;-;-;-;-;-;4
"311940 CORONEL FABRICIANO";4;5;2;1;2;1;3;-;-;18
"312015 CRISOLITA";-;-;1;-;-;-;-;1;-;2
"312030 CRISTALIA";-;-;-;-;1;-;-;-;-;1
"312080 CRUZILIA";-;4;-;1;3;4;4;3;-;19
"312083 CUPARAQUE";-;-;-;-;-;-;-;1;-;1
"312087 CURRAL DE DENTRO";1;-;-;-;-;-;-;-;-;1
"312090 CURVELO";-;-;-;-;-;-;-;-;1;1
"312100 DATAS";-;1;-;-;-;-;-;-;-;1
"312160 DIAMANTINA";3;6;5;5;7;5;7;11;3;52
"312190 DIVINESIA";-;-;-;-;-;-;-;-;7;7
"312200 DIVINO";3;3;-;1;1;1;1;2;-;12
"312210 DIVINO DAS LARANJEIRAS";1;-;1;-;-;-;-;-;-;2
"312220 DIVINOLANDIA DE MINAS";1;-;-;-;1;1;-;-;-;3
"312230 DIVINOPOLIS";3;1;3;4;2;-;-;1;3;17
"312250 DOM CAVATI";-;-;2;1;-;-;-;1;-;4
"312260 DOM JOAQUIM";-;-;-;-;-;-;-;1;-;1
"312270 DOM SILVERIO";-;4;-;-;2;-;1;-;-;7
"312320 DORES DO INDAIA";1;-;-;-;1;-;1;-;-;3
"312330 DORES DO TURVO";-;-;-;-;1;-;-;-;-;1
"312370 ENGENHEIRO CALDAS";-;-;-;-;3;4;1;-;-;8
"312410 ESMERALDAS";-;-;-;-;-;1;1;-;-;2
"312420 ESPERA FELIZ";-;-;-;-;-;-;-;1;-;1
"312430 ESPINOSA";-;-;3;2;-;1;3;4;2;15
"312440 ESPIRITO SANTO DO DOURADO";-;-;1;1;1;-;-;-;-;3
"312450 ESTIVA";1;-;-;-;1;-;-;-;-;2
"312470 ESTRELA DO INDAIA";-;-;-;-;-;-;-;2;-;2
"312480 ESTRELA DO SUL";1;-;-;-;-;-;-;-;-;1
"312490 EUGENOPOLIS";-;1;-;-;1;-;3;-;1;6
"312520 FAMA";-;1;-;-;-;-;-;-;-;1
"312530 FARIA LEMOS";-;-;-;-;-;-;-;1;-;1
"312560 FELISBURGO";-;-;-;-;-;-;-;2;-;2
"312570 FELIXLANDIA";-;-;-;-;-;1;-;-;-;1
"312595 FERVEDOURO";-;2;-;-;-;-;-;-;-;2
"312610 FORMIGA";-;-;-;-;1;-;-;-;-;1
"312620 FORMOSO";-;1;-;-;1;-;-;-;-;2
"312630 FORTALEZA DE MINAS";-;-;-;-;-;1;-;-;-;1
"312650 FRANCISCO BADARO";2;1;1;2;-;1;2;-;-;9
"312660 FRANCISCO DUMONT";-;2;-;-;-;-;-;-;-;2
"312670 FRANCISCO SA";2;1;1;-;-;1;3;-;-;8
"312675 FRANCISCOPOLIS";-;-;-;-;-;-;2;1;-;3
"312710 FRUTAL";2;-;-;-;1;1;1;-;-;5
"312730 GALILEIA";-;-;-;3;-;-;-;-;-;3
"312735 GLAUCILANDIA";-;-;-;-;1;2;2;2;1;8
"312737 GOIABEIRA";-;-;-;-;-;-;-;1;-;1
"312750 GONZAGA";2;1;1;-;-;1;1;-;1;7
"312760 GOUVEIA";-;-;-;-;1;3;1;-;-;5
"312770 GOVERNADOR VALADARES";12;4;9;13;10;13;10;10;7;88
"312780 GRAO MOGOL";-;1;-;-;-;-;-;-;-;1
"312800 GUANHAES";-;-;-;-;-;-;1;-;-;1
"312825 GUARACIAMA";-;-;-;1;-;-;-;-;-;1
