DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2020
"Município infecção";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110011 JARU";-;-;1;1;5;1;1;1;1;-;1;3;-;-;-;-;-;-;1;-;1;1;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;1;-;1;3;1;30
"110012 JI-PARANA";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"110013 MACHADINHO D'OESTE";-;-;2;-;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;1;-;2;-;2;1;1;2;3;-;2;1;1;-;1;-;-;1;1;-;1;-;-;-;-;-;1;2;-;1;2;-;33
"110014 NOVA BRASILANDIA D'OESTE";-;-;2;1;4;8;9;8;18;13;18;25;13;13;16;9;10;7;8;7;7;7;7;3;1;1;5;-;2;1;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;229
"110015 OURO PRETO DO OESTE";-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;8
"110018 PIMENTA BUENO";-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"110020 PORTO VELHO";-;14;5;14;13;12;29;18;15;13;7;10;5;8;9;12;11;4;3;9;3;-;2;3;2;2;-;11;6;3;5;2;4;3;1;2;1;-;1;-;1;-;5;1;-;2;1;3;2;2;3;8;9;-;299
"110026 RIO CRESPO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110028 ROLIM DE MOURA";-;1;-;1;-;-;-;1;1;3;-;2;2;-;1;3;3;3;-;7;8;10;10;6;10;10;7;5;1;4;8;4;1;1;2;1;-;-;-;1;-;-;-;-;-;1;-;1;1;1;-;-;-;-;121
"110029 SANTA LUZIA D'OESTE";-;-;-;-;-;2;-;-;1;3;4;-;-;-;-;-;-;-;-;-;4;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"110030 VILHENA";-;4;6;8;15;26;58;50;60;43;63;84;83;92;64;62;47;25;19;16;17;9;5;6;5;5;3;3;2;1;6;-;1;-;2;1;2;-;-;-;1;2;1;-;2;2;1;1;-;1;2;3;3;-;912
"110032 SAO MIGUEL DO GUAPORE";-;-;1;4;-;1;4;1;4;7;11;3;3;2;-;3;-;-;-;5;14;13;2;2;1;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;86
"110033 NOVA MAMORE";-;2;3;6;-;3;10;8;5;12;13;20;17;10;8;4;7;15;20;7;3;-;1;3;3;1;2;1;1;2;2;1;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;1;-;195
"110034 ALVORADA D'OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110037 ALTO ALEGRE DOS PARECIS";-;12;14;6;15;1;6;4;3;-;-;2;-;1;-;-;1;-;-;3;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;-;75
"110040 ALTO PARAISO";-;1;-;-;2;3;4;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"110045 BURITIS";-;-;-;1;4;4;3;7;2;2;-;-;-;-;-;1;-;-;4;-;-;-;1;1;4;2;4;9;3;8;2;1;3;2;-;3;3;-;-;1;2;-;2;2;1;1;2;-;-;2;5;9;7;2;110
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110060 CACAULANDIA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;4;2;4;3;-;-;-;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"110070 CAMPO NOVO DE RONDONIA";-;-;-;-;-;-;-;-;-;-;1;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"110092 CHUPINGUAIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110094 CUJUBIM";-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110110 ITAPUA DO OESTE";-;-;1;-;1;1;4;6;4;6;4;1;-;2;1;1;1;-;4;4;4;12;7;5;4;3;9;3;3;2;1;2;1;1;3;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;3;1;-;-;109
"110120 MINISTRO ANDREAZZA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110140 MONTE NEGRO";-;-;-;1;-;-;2;1;1;2;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"110143 NOVA UNIAO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110145 PARECIS";-;-;-;-;-;2;3;-;-;2;1;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;13
"110146 PIMENTEIRAS DO OESTE";-;-;-;1;-;1;4;4;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;2;2;6;3;-;-;-;-;19
"110148 SAO FELIPE D'OESTE";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;2;1;1;2;3;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;1;1;-;2;3;3;2;1;5;-;4;1;2;-;4;4;-;2;1;1;1;-;-;-;1;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;44
"110155 TEIXEIROPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110160 THEOBROMA";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"110170 URUPA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110175 VALE DO ANARI";-;-;-;-;1;1;-;3;1;3;-;1;-;-;-;2;-;-;2;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"120001 ACRELANDIA";-;2;2;3;2;2;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;2;-;1;-;23
"120005 ASSIS BRASIL";-;1;5;8;6;11;14;8;6;6;8;9;11;6;3;3;2;1;1;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;3;2;2;8;3;17;14;169
"120010 BRASILEIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;3;5;22;19;57
"120013 BUJARI";-;-;-;1;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"120017 CAPIXABA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120020 CRUZEIRO DO SUL";-;323;377;359;208;142;114;104;62;41;27;24;20;16;9;4;14;18;43;85;98;102;85;59;43;25;14;22;16;18;19;9;9;6;3;2;5;6;8;11;5;3;8;7;5;7;11;15;5;15;30;27;142;14;2844
"120025 EPITACIOLANDIA";-;1;1;-;1;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;-;-;2;2;-;-;-;12;28;23;16;94
"120030 FEIJO";-;1;4;1;5;-;3;6;13;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;46
"120033 MANCIO LIMA";-;9;18;14;2;9;3;3;1;1;2;5;2;2;1;2;2;2;1;2;6;1;3;-;-;-;4;2;-;-;-;2;1;2;-;-;1;1;-;-;3;-;2;1;-;-;1;3;-;1;1;9;14;-;139
"120034 MANOEL URBANO";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120035 MARECHAL THAUMATURGO";-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;1;-;-;1;-;12
"120039 PORTO WALTER";-;1;2;1;2;2;1;1;1;2;1;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"120040 RIO BRANCO";-;27;50;65;38;30;25;25;27;16;26;7;-;-;1;-;1;2;-;-;-;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;5;2;354
"120042 RODRIGUES ALVES";-;4;5;15;23;12;4;2;2;9;2;7;-;-;2;-;1;1;2;2;3;4;3;5;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;7;2;5;3;129
"120045 SENADOR GUIOMARD";-;1;-;1;1;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"120060 TARAUACA";-;83;77;57;28;42;22;32;24;28;27;26;11;-;5;7;3;5;4;2;2;2;2;3;3;7;4;3;2;-;2;4;3;4;3;2;2;1;-;-;2;1;8;2;9;7;13;39;30;38;54;74;42;9;860
"120070 XAPURI";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;6;14
"120080 PORTO ACRE";-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;2;1;4;3;-;3;14;6;17;4;-;1;-;62
"130040 BARCELOS";-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3;2;-;8;2;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"130060 BENJAMIN CONSTANT";-;103;120;90;62;48;41;28;21;9;18;20;5;8;10;2;3;1;6;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;7;10;12;19;59;-;709
"130070 BOCA DO ACRE";-;-;-;-;2;9;2;1;1;2;-;1;-;-;-;-;-;-;-;-;4;2;2;3;3;3;3;4;2;-;-;-;3;8;12;17;22;16;14;37;40;49;41;57;55;46;34;43;37;17;13;8;6;2;621
"130090 CANUTAMA";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130100 CARAUARI";-;40;55;27;25;25;22;24;11;22;6;8;6;13;5;9;9;2;2;3;5;3;5;-;1;3;1;3;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;27;-;368
"130110 CAREIRO";-;-;2;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130120 COARI";-;1;-;-;-;2;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130130 CODAJAS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130140 EIRUNEPE";-;3;16;8;6;6;5;12;4;8;10;10;9;2;5;3;4;5;1;7;6;5;2;-;-;3;2;2;-;-;-;-;1;-;1;2;2;2;-;2;3;7;11;9;7;2;5;6;3;15;22;20;10;4;278
"130150 ENVIRA";-;4;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;11
"130165 GUAJARA";-;54;43;46;25;19;12;17;9;13;20;12;8;5;4;7;3;3;7;7;18;15;12;6;-;-;-;2;-;1;2;1;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;3;25;-;403
"130170 HUMAITA";-;8;21;14;9;9;7;6;7;5;6;4;3;1;4;2;4;-;4;1;2;-;-;1;1;-;2;1;-;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;130
"130180 IPIXUNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130185 IRANDUBA";-;-;-;-;-;1;1;1;-;-;1;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"130190 ITACOATIARA";-;-;-;-;-;-;1;-;-;-;1;1;1;1;-;-;-;1;-;-;-;1;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;13
"130200 ITAPIRANGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"130230 JUTAI";-;-;-;-;-;-;4;7;11;11;16;2;1;-;-;-;-;1;1;-;1;1;5;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64
"130240 LABREA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;2;-;-;9;2;2;1;32
"130250 MANACAPURU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130260 MANAUS";-;4;2;12;12;19;24;25;23;17;21;25;18;15;18;14;8;4;11;11;7;11;18;15;17;25;12;17;16;11;11;19;11;12;10;7;4;4;3;1;-;3;1;2;6;7;6;13;7;15;16;12;14;6;622
"130270 MANICORE";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130340 PARINTINS";-;-;1;-;-;1;2;1;-;1;-;-;-;-;-;4;4;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;20
"130353 PRESIDENTE FIGUEIREDO";-;-;1;-;2;1;1;4;1;4;6;3;1;-;-;-;-;1;-;-;-;1;-;-;-;1;2;13;4;3;5;2;-;5;5;2;-;-;1;-;2;-;1;-;2;-;-;-;-;-;1;1;-;-;76
"130356 RIO PRETO DA EVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;-;-;-;-;-;-;-;-;3;1;1;4;1;1;4;2;5;2;8;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35
"130370 SANTO ANTONIO DO ICA";-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;7;5;-;-;26
"130380 SAO GABRIEL DA CACHOEIRA";-;71;100;84;66;60;52;28;29;31;41;33;22;17;11;33;28;13;18;5;2;-;-;3;2;1;1;-;3;-;-;-;1;3;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;8;36;-;806
"130390 SAO PAULO DE OLIVENCA";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130406 TABATINGA";-;5;5;8;8;9;9;8;-;7;-;2;-;1;1;3;6;6;-;1;1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2;4;-;92
"130420 TEFE";-;-;-;-;1;2;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;2;1;1;-;1;-;2;2;2;8;2;13;1;5;4;-;-;55
"140002 AMAJARI";-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"140005 ALTO ALEGRE";-;-;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"140010 BOA VISTA";-;18;16;14;27;44;48;14;15;13;9;3;1;1;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;1;-;-;1;2;-;-;-;-;-;-;-;1;1;3;1;3;-;243
"140015 BONFIM";-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"140017 CANTA";-;3;3;5;3;3;1;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;27
"140020 CARACARAI";-;-;5;2;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;15
"140023 CAROEBE";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"140028 IRACEMA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"140030 MUCAJAI";-;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"140040 NORMANDIA";-;-;1;-;2;9;-;-;-;5;7;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30
"140045 PACARAIMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
