DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2024
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"110012 JI-PARANA";-;1;-;1;2;-;1;4;11;8;11;10;5;10;7;2;1;1;1;2;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;1;-;1;2;-;89
"110013 MACHADINHO D'OESTE";-;-;-;1;1;13;11;13;5;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47
"110014 NOVA BRASILANDIA D'OESTE";-;-;1;-;2;3;8;15;13;15;33;12;4;6;1;-;3;2;2;-;-;2;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;127
"110015 OURO PRETO DO OESTE";-;1;1;2;-;-;1;1;1;1;1;2;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;15
"110018 PIMENTA BUENO";4;5;-;5;10;1;7;5;12;9;5;3;2;3;1;1;-;-;2;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;81
"110020 PORTO VELHO";32;27;38;31;33;30;36;45;39;23;18;9;10;16;11;10;14;8;11;7;4;10;9;16;9;7;7;7;4;7;7;1;2;7;3;2;2;2;3;-;-;-;3;4;1;1;1;2;4;-;6;1;580
"110025 PRESIDENTE MEDICI";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110026 RIO CRESPO";3;6;4;10;3;-;1;4;-;3;1;6;3;2;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50
"110028 ROLIM DE MOURA";1;1;3;3;2;18;17;111;47;146;43;134;15;18;15;27;20;4;1;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;634
"110029 SANTA LUZIA D'OESTE";-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110030 VILHENA";1;1;5;6;8;5;9;9;8;14;16;11;12;15;21;16;18;11;13;5;2;4;7;1;3;3;4;4;4;5;4;3;3;3;2;2;1;1;1;2;2;4;2;3;-;3;6;-;3;3;-;-;289
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;2;-;2;-;7;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;20
"110033 NOVA MAMORE";-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"110034 ALVORADA D'OESTE";1;2;-;-;2;3;1;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;16
"110037 ALTO ALEGRE DOS PARECIS";-;-;4;8;6;-;1;1;5;1;4;6;5;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;1;-;-;48
"110040 ALTO PARAISO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"110045 BURITIS";2;-;-;-;-;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;-;-;-;5;18;28;5;8;3;2;-;-;2;2;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;78
"110060 CACAULANDIA";-;-;4;3;1;3;5;5;4;6;4;5;6;4;3;-;2;-;1;2;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;2;-;-;-;-;-;-;-;65
"110070 CAMPO NOVO DE RONDONIA";-;-;-;2;-;-;-;1;1;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"110080 CANDEIAS DO JAMARI";2;1;-;-;-;-;1;1;3;1;1;-;1;-;4;1;1;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;22
"110092 CHUPINGUAIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110094 CUJUBIM";-;-;1;-;-;-;3;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;9
"110110 ITAPUA DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110120 MINISTRO ANDREAZZA";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110130 MIRANTE DA SERRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110140 MONTE NEGRO";2;-;-;-;-;1;1;3;1;1;-;1;-;-;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"110145 PARECIS";3;1;7;3;2;-;1;-;1;4;5;8;4;2;5;3;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;53
"110146 PIMENTEIRAS DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110148 SAO FELIPE D'OESTE";-;-;1;1;1;-;4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;-;1;1;-;-;-;-;1;-;-;1;1;-;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"110150 SERINGUEIRAS";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110160 THEOBROMA";2;-;-;-;1;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"110170 URUPA";-;-;-;-;1;-;1;5;1;1;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;17
"110175 VALE DO ANARI";-;-;-;-;5;5;21;38;10;4;5;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;100
"120001 ACRELANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120005 ASSIS BRASIL";71;65;48;41;31;8;12;10;5;12;6;13;12;6;6;8;10;9;3;5;2;1;-;4;1;1;1;1;1;1;1;1;2;2;1;1;1;-;1;-;3;1;-;-;2;-;3;-;-;-;-;-;413
"120010 BRASILEIA";64;21;9;22;9;8;12;6;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154
"120017 CAPIXABA";1;-;-;-;-;2;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"120020 CRUZEIRO DO SUL";3;5;9;6;8;1;2;12;6;5;6;6;7;8;6;6;2;4;4;-;5;5;-;-;-;-;-;-;2;-;1;-;-;-;-;-;1;-;6;4;5;3;2;6;-;2;3;1;27;4;18;12;213
"120025 EPITACIOLANDIA";4;2;2;8;4;7;10;4;2;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55
"120030 FEIJO";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;1;1;9
"120032 JORDAO";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120033 MANCIO LIMA";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120034 MANOEL URBANO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;2;9;4;-;20
"120035 MARECHAL THAUMATURGO";-;-;-;1;1;6;6;15;9;14;12;3;7;5;8;20;6;2;-;-;-;1;1;1;-;-;1;2;1;-;-;1;-;-;4;3;7;7;5;9;3;9;14;14;9;9;11;2;12;4;1;6;252
"120039 PORTO WALTER";-;1;-;-;-;1;-;6;2;3;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;20
"120040 RIO BRANCO";4;1;2;-;2;2;1;6;-;3;1;1;-;1;4;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;10;10;16;12;82
"120042 RODRIGUES ALVES";3;5;5;4;-;1;-;-;1;-;3;-;1;4;-;1;-;2;-;-;1;-;4;3;2;-;-;2;2;1;3;2;2;-;1;2;5;5;2;7;5;3;8;9;8;10;14;21;3;15;19;6;195
"120045 SENADOR GUIOMARD";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120050 SENA MADUREIRA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120060 TARAUACA";14;3;3;1;1;4;1;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;5;13;12;11;7;3;7;14;19;20;21;31;17;5;220
"130002 ALVARAES";11;9;17;6;3;-;2;5;1;-;-;1;1;4;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62
"130006 AMATURA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130014 APUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130020 ATALAIA DO NORTE";-;4;3;2;10;20;19;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61
"130030 AUTAZES";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130040 BARCELOS";-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130063 BERURI";-;-;-;1;1;-;2;2;-;5;1;4;1;3;6;2;-;1;1;2;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
"130070 BOCA DO ACRE";3;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"130080 BORBA";-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;5
"130083 CAAPIRANGA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130100 CARAUARI";-;-;1;1;3;3;1;1;5;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;18
"130110 CAREIRO";-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"130120 COARI";2;8;27;27;27;20;28;8;5;7;8;1;1;-;5;-;-;-;-;1;-;-;1;-;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;181
"130130 CODAJAS";1;1;1;3;2;5;3;2;29;31;57;36;11;6;-;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;194
"130140 EIRUNEPE";-;-;-;1;1;3;2;3;4;2;3;-;3;-;1;1;1;1;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;1;1;-;-;1;-;1;-;38
"130150 ENVIRA";4;7;17;21;36;30;46;45;33;23;25;11;6;7;8;13;4;1;2;1;1;3;3;3;2;2;1;3;4;6;7;6;13;38;44;30;32;15;20;15;23;11;27;22;-;4;24;26;35;49;49;16;874
"130160 FONTE BOA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130165 GUAJARA";5;-;4;3;4;8;7;4;10;13;3;2;1;-;1;-;2;7;6;2;2;2;1;3;7;5;13;11;9;5;16;20;15;6;9;19;32;32;9;14;33;34;38;44;41;46;75;42;64;40;22;20;811
"130170 HUMAITA";2;-;3;3;3;-;-;-;3;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"130180 IPIXUNA";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;3;1;1;12
"130185 IRANDUBA";-;1;2;-;3;-;1;2;-;-;-;1;-;1;1;-;1;-;-;-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"130190 ITACOATIARA";-;1;-;1;1;1;1;-;-;1;1;-;-;-;1;-;-;-;1;-;-;1;-;1;2;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"130210 JAPURA";2;7;22;13;6;15;25;25;13;13;6;6;7;6;-;1;-;-;-;-;-;-;-;-;-;-;1;2;1;3;2;-;-;-;-;2;3;2;4;1;-;3;-;1;-;1;1;-;-;-;-;-;194
"130220 JURUA";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130230 JUTAI";12;9;18;13;15;8;27;10;21;27;22;10;8;20;13;15;15;14;25;14;28;17;11;4;1;1;13;10;14;10;7;12;12;6;11;12;11;8;14;12;11;2;1;1;7;6;7;7;11;8;7;4;602
"130240 LABREA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130250 MANACAPURU";1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130255 MANAQUIRI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130260 MANAUS";251;185;226;93;67;78;68;60;65;38;21;29;21;46;42;25;22;10;16;9;6;5;11;9;4;11;16;7;7;8;10;10;5;2;4;5;8;3;5;5;5;3;3;8;8;4;4;3;6;4;3;7;1571
"130270 MANICORE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"130280 MARAA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130290 MAUES";15;29;6;7;-;-;-;1;1;1;-;-;-;2;1;1;-;-;-;-;2;1;2;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73
"130300 NHAMUNDA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130330 NOVO ARIPUANA";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130340 PARINTINS";-;-;-;-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"130353 PRESIDENTE FIGUEIREDO";-;-;3;-;1;1;2;1;1;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;3;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;20
"130356 RIO PRETO DA EVA";1;2;1;-;-;2;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130370 SANTO ANTONIO DO ICA";-;1;-;2;1;1;2;4;5;-;-;1;1;2;-;8;9;8;5;4;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60
"130380 SAO GABRIEL DA CACHOEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130395 SAO SEBASTIAO DO UATUMA";-;1;2;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130400 SILVES";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130406 TABATINGA";1;1;2;-;1;1;5;2;-;-;3;3;1;3;1;-;-;-;2;1;-;-;1;-;-;2;1;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;2;3;2;3;1;53
